id,level,item_id,item_number,money_id,money_number,mix,max,process
1,1,183351001,1,215502001,2000,400,650,1000
2,2,183351001,1,215502001,2000,350,600,1000
3,3,183351001,1,215502001,2000,300,550,1000
4,4,183351001,2,215502001,4000,300,550,1000
5,5,183351001,2,215502001,4000,250,500,1000
6,6,183351001,2,215502001,4000,200,450,1000
7,7,183351001,3,215502001,6000,200,450,1000
8,8,183351001,3,215502001,6000,150,400,1000
9,9,183351001,3,215502001,6000,100,350,1000
10,10,183351001,4,215502001,8000,80,350,1000
11,11,183351001,4,215502001,8000,70,300,1000
12,12,183351001,4,215502001,8000,60,250,1000
13,13,183351001,5,215502001,10000,50,250,1000
14,14,183351001,5,215502001,10000,40,200,1000
15,15,183351001,5,215502001,10000,30,150,1000
16,16,183351001,6,215502001,12000,30,150,1000
17,17,183351001,6,215502001,12000,25,100,1000
18,18,183351001,6,215502001,12000,20,80,1000
19,19,183351001,7,215502001,14000,20,80,1000
20,20,183351001,7,215502001,14000,20,70,1000
21,21,183351001,7,215502001,14000,20,60,1000
22,22,183351001,8,215502001,16000,20,60,1000
23,23,183351001,8,215502001,16000,20,50,1000
24,24,183351001,8,215502001,16000,20,50,1000
25,25,183351001,9,215502001,18000,20,50,1000
26,26,183351001,9,215502001,18000,20,50,1000
27,27,183351001,9,215502001,18000,20,50,1000
28,28,183351001,10,215502001,20000,20,50,1000
29,29,183351001,10,215502001,20000,20,50,1000
30,30,183351001,10,215502001,20000,20,50,1000
31,31,183351001,11,215502001,22000,20,50,1000
32,32,183351001,11,215502001,22000,20,40,1000
33,33,183351001,11,215502001,22000,20,40,1000
34,34,183351001,12,215502001,24000,20,40,1000
35,35,183351001,12,215502001,24000,20,40,1000
36,36,183351001,12,215502001,24000,20,40,1000
37,37,183351001,13,215502001,26000,20,40,1000
38,38,183351001,13,215502001,26000,20,40,1000
39,39,183351001,13,215502001,26000,20,40,1000
40,40,183351001,14,215502001,28000,20,40,1000
41,41,183351001,14,215502001,28000,20,40,1000
